epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1171.31,0.95803,1.79282,1.50448,0.56428,0.50909,0.49063,0.25085,1.5613,2.45035,2.24262,0.000662474,0.000662474,0.000662474
2,2374.16,1.06258,1.50677,1.57482,0.26022,0.18182,0.16163,0.0577,2.14436,3.05896,2.53749,0.00128528,0.00128528,0.00128528
3,3425.39,1.10252,1.45052,1.61259,0.42097,0.45455,0.36081,0.18851,1.83749,2.57503,2.28876,0.00186408,0.00186408,0.00186408
4,4511.4,1.09775,1.38344,1.60576,0.68409,0.53636,0.56336,0.2815,1.72055,1.9697,2.103,0.001802,0.001802,0.001802
5,5626.05,1.07288,1.34571,1.59113,0.56734,0.42727,0.46422,0.22594,1.5983,2.21698,2.01054,0.001736,0.001736,0.001736
6,6807.24,0.99865,1.27252,1.53759,0.72173,0.52727,0.63697,0.36505,1.42794,1.7953,1.81383,0.00167,0.00167,0.00167
7,7793.22,0.962,1.23755,1.49746,0.7342,0.67273,0.70685,0.42243,1.36647,1.48959,1.79084,0.001604,0.001604,0.001604
8,9338.01,0.93061,1.20557,1.471,0.87844,0.67273,0.77846,0.48621,1.26997,1.43914,1.59853,0.001538,0.001538,0.001538
9,10748.8,0.88311,1.1387,1.44325,0.6246,0.7,0.70003,0.42012,1.36383,1.44175,1.72406,0.001472,0.001472,0.001472
10,15716,0.87234,1.14586,1.42919,0.82494,0.7,0.76961,0.52549,1.07531,1.22771,1.45738,0.001406,0.001406,0.001406
11,16804.9,0.83993,1.07426,1.41181,0.70968,0.71113,0.74257,0.49345,1.22574,1.35234,1.62731,0.00134,0.00134,0.00134
12,17862.3,0.81839,1.06404,1.38437,0.83933,0.76364,0.79308,0.5544,0.98888,1.1127,1.39062,0.001274,0.001274,0.001274
13,18997.7,0.79489,1.05659,1.37055,0.72167,0.58182,0.63246,0.404,1.20733,1.50473,1.55027,0.001208,0.001208,0.001208
14,49886.4,0.77826,1.02413,1.36134,0.8408,0.76822,0.80184,0.5497,0.95552,1.14644,1.33805,0.001142,0.001142,0.001142
15,51960.3,0.79248,1.01485,1.37799,0.93287,0.68182,0.80438,0.54103,1.30978,1.22505,1.61232,0.001076,0.001076,0.001076
16,53880,0.76427,0.9827,1.34474,0.83525,0.76364,0.81407,0.58626,0.98173,1.05271,1.31359,0.00101,0.00101,0.00101
17,55040.3,0.73685,0.95042,1.32574,0.87929,0.75455,0.82248,0.56959,1.07201,1.04163,1.48068,0.000944,0.000944,0.000944
18,56187.4,0.71688,0.92927,1.30827,0.9229,0.68182,0.79493,0.58565,1.02516,1.22712,1.36589,0.000878,0.000878,0.000878
19,77023.8,0.70894,0.94176,1.30661,0.74942,0.75455,0.79383,0.55309,1.01775,1.16414,1.39571,0.000812,0.000812,0.000812
20,78347.3,0.68959,0.92396,1.29153,0.90299,0.78182,0.83333,0.60915,1.06013,1.05774,1.43109,0.000746,0.000746,0.000746
21,79847.7,0.74441,0.91796,1.44234,0.83869,0.76364,0.82381,0.6225,0.93283,1.06875,1.28794,0.00068,0.00068,0.00068
22,81170.3,0.69356,0.82336,1.38679,0.86374,0.80681,0.86096,0.66114,0.83165,0.9231,1.1692,0.000614,0.000614,0.000614
23,86800.3,0.67051,0.80366,1.36854,0.85278,0.79091,0.85204,0.62403,0.87111,0.99759,1.22047,0.000548,0.000548,0.000548
24,88078.4,0.64632,0.77449,1.34726,0.94311,0.75352,0.85599,0.6771,0.85255,0.91899,1.2231,0.000482,0.000482,0.000482
25,89305.7,0.62566,0.72863,1.33021,0.85791,0.82335,0.85885,0.65729,0.87522,0.93372,1.23741,0.000416,0.000416,0.000416
26,90431.8,0.60176,0.71346,1.30281,0.93611,0.81818,0.87313,0.68213,0.83622,0.86048,1.21172,0.00035,0.00035,0.00035
27,91685.8,0.57994,0.69075,1.2945,0.84338,0.83221,0.86774,0.66998,0.92961,0.91626,1.28778,0.000284,0.000284,0.000284
28,92742,0.55723,0.67102,1.26208,0.90327,0.80909,0.88261,0.69899,0.82326,0.80875,1.17321,0.000218,0.000218,0.000218
29,93778.1,0.53626,0.63413,1.24909,0.85424,0.79917,0.8724,0.69619,0.824,0.82267,1.18877,0.000152,0.000152,0.000152
30,105794,0.52552,0.61715,1.23437,0.89562,0.80909,0.87681,0.70868,0.78168,0.7705,1.15268,8.6e-05,8.6e-05,8.6e-05
